;Library;Host;Host_taxid;OTU;NCBI_accession;Habitat;Habitat_labels;Site;Location;Longitude;Latitude;Date;OTU name;Family;NCBI_title;Genome;BLAST_matches
376;PV122;Picris echioides;174463;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
377;PV123;Rumex pulcher;291098;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
378;PV124;Malva sylvestris;145754;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
379;PV125;Senecio jacobaea;98722;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
380;PV126;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
381;PV127;Torilis nodosa;40891;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
382;PV128;Vicia sp;;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
383;PV129;Bromus sp;;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
384;PV130;Carduus bourgeanus;1338475;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
385;PV131;Chenopodium album;3559;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
386;PV132;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
387;PV133;Diplotaxis sp;;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
388;PV134;Descurainia sophia;89411;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
389;PV135;Fumaria parviflora;1464625;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
390;PV136;Lactuca serriola;75943;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
391;PV137;Lolium perenne;4522;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
392;PV138;Potentilla sp;;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
393;PV139;Rubia peregrina;29801;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
394;PV140;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
395;PV141;Bromus sp;;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
396;PV142;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
397;PV143;Diplotaxis erucoides;3732;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
398;PV144;Fumaria parviflora;1464625;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
399;PV145;Lepidium draba;153317;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
400;PV146;Malva sylvestris;145754;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
401;PV147;Papaver rhoeas;33128;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
402;PV148;Scandix pecten veneris;;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
403;PV149;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
404;PV150;Anthriscus caucalis;54826;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
405;PV151;Aristolochia pistolochia;212733;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
406;PV152;Brachypodium phoenicoides;65973;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
407;PV153;Carduus bourgeanus;1338475;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
408;PV154;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
409;PV155;Fumaria parviflora;1464625;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
410;PV156;Hirschfeldia incana;71354;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
411;PV157;Lepidium draba;153317;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
412;PV158;Rubia peregrina;29801;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['21/4/16', '16/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
413;PV161;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
414;PV163;Lolium perenne;4522;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
415;PV164;Sonchus oleraceus;50207;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
416;PV166;Carduus bourgeanus;1338475;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
417;PV167;Chenopodium album;3559;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
418;PV168;Conyza canadensis;72917;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
419;PV169;Galium verum;462873;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
420;PV170;Lactuca serriola;75943;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
421;PV171;Lolium perenne;4522;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
422;PV172;Picris echioides;174463;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
423;PV173;Rubia peregrina;29801;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
424;PV174;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
425;PV176;Anacyclus clavatus;99026;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
426;PV181;Diplotaxis erucoides;3732;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
427;PV182;Lactuca serriola;75943;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
428;PV183;Picris echioides;174463;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
429;PV184;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
430;PV186;Sonchus oleraceus;50207;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['24/7/15', '15/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
431;PV187;Brachypodium phoenicoides;65973;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['16/7/15', '20/7/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
432;PV190;Rubia peregrina;29801;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['31/3/16', '19/4/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
433;PV191;Allium sativum;4682;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
434;PV194;Papaver rhoeas;33128;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
435;PV195;Picris echioides;174463;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['31/3/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
436;PV196;Amaranthus sp;;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
437;PV198;Brachypodium retusum;52142;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
438;PV199;Carduus bourgeanus;1338475;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
439;PV201;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
440;PV202;Conyza bonariensis;91242;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
441;PV203;Cynodon dactylon;28909;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
442;PV204;Diplotaxis erucoides;3732;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
443;PV205;Geranium sp;;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
444;PV210;Cynodon dactylon;28909;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
445;PV211;Solanum nigrum;4112;CMV;NC_001440;Edge;62 - field margin;L2;Villaconejos;-3.476462;40.048758;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
446;PV212;Amaranthus sp;;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
447;PV213;Carduus bourgeanus;1338475;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
448;PV214;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
449;PV215;Conyza bonariensis;91242;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
450;PV216;Cynodon dactylon;28909;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
451;PV217;Datura stramonium;4076;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
452;PV218;Daucus sp;;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
453;PV219;Diplotaxis erucoides;3732;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
454;PV220;Eruca vesicaria;180536;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
455;PV221;Lactuca serriola;75943;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
456;PV222;Malva sylvestris;145754;CMV;NC_001440;Edge;62 - field margin;L1;Aranjuez;-3.34522;40.03184;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
457;PV223;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
458;PV224;Vicia sp;;CMV;NC_001440;Edge;62 - field margin;L3;Villamanrique de Tajo;-3.125794;40.050352;['19/11/15', '10/11/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
459;PV226;Convolvulus arvensis;4123;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
460;PV227;Daucus sp;;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
461;PV229;Diplotaxis erucoides;3732;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
462;PV230;Echium vulgare;34253;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
463;PV232;Lolium perenne;4522;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
464;PV235;Silybum marianum;92921;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
465;PV237;Erodium cicutarium;301481;CMV;NC_001440;Edge;62 - field margin;L4;Tielmes;-3.252617;40.245459;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
466;PV270;Asparagus acutifolius;191654;CMV;NC_001440;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['4/11/15', '27/10/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
467;PV356;Hordeum matritense;;CMV;NC_001440;Wasteland;25 - fallow land;E3;Ambite;-3.196057;40.089637;['31/5/16', '3/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
468;PV369;Teucrium pseudochamaepitys;1209883;CMV;NC_001440;Wasteland;25 - fallow land;E3;Ambite;-3.196057;40.089637;['31/5/16', '3/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
469;PV386;Papaver rhoeas;33128;CMV;NC_001440;Wasteland;25 - fallow land;E4;Mondéjar;-3.131139;40.494167;['31/5/16', '3/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
470;PV423;Bromus sp;;CMV;NC_001440;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
471;PV426;Erodium cicutarium;301481;CMV;NC_001440;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
472;PV437;Geranium sp;;CMV;NC_001440;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
473;PV440;Thapsia villosa;512635;CMV;NC_001440;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
474;PV441;Leontodon sp;;CMV;NC_001440;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
475;PV495;Anacyclus clavatus;99026;CMV;NC_001440;Crop;21 - field;H2;Villamanrique de Tajo;-3.214026;40.085899;['21/4/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
476;PV496;Convolvulus arvensis;4123;CMV;NC_001440;Crop;21 - field;H2;Villamanrique de Tajo;-3.214026;40.085899;['21/4/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
477;PV505;Hordeum vulgare;4513;CMV;NC_001440;Crop;21 - field;H3;Tielmes;-3.253943;40.245852;['21/4/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
478;PV514;Diplotaxis erucoides;3732;CMV;NC_001440;Crop;21 - field;M3;Villamanrique de Tajo;-3.125;40.0459;['24/7/15'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
479;PV525;Diplotaxis erucoides;3732;CMV;NC_001440;Crop;21 - field;Z1;Villaconejos;-3.476076;40.050052;['16/7/15'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
480;PV526;Phalaris minor;222563;CMV;NC_001440;Crop;21 - field;Z1;Villaconejos;-3.476076;40.050052;['16/7/15'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
481;PV527;Convolvulus arvensis;4123;CMV;NC_001440;Crop;21 - field;Z2;Villamanrique de Tajo;-3.131;40.04472;['24/7/15'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
482;PV529;Picris echioides;174463;CMV;NC_001440;Crop;21 - field;Z2;Villamanrique de Tajo;-3.131;40.04472;['24/7/15'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
483;PV534;Diplotaxis erucoides;3732;CMV;NC_001440;Crop;21 - field;C1;Aranjuez;-3.593308;40.051302;['1/2/16'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
484;PV558;Phlomis lychnitis;316266;CMV;NC_001440;Oak;11 - forest or woodland;Q2;San Martín de la Vega;-3.530613;40.225155;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
485;PV559;Stipa parviflora;52162;CMV;NC_001440;Oak;11 - forest or woodland;Q1;Aranjuez;-3.39183;39.59552;['23/5/16', '10/5/17'];Cucumovirus 1;Bromoviridae;Cucumber mosaic virus RNA 3;(+)ssRNA;1553414.0
