Library code;Host taxon;Habitat;Collection code;Original filename;Read pairs;QC reads;Raw BLAST count;6C count;% Viral QC
PV437;Geranium sp;Oak;Q2P;PV437_31173_GTTCAG;29979996;19396564;569;286;0.001474488
PV440;Thapsia villosa;Oak;Q2P;PV440_31193_GCCATT;31094278;20500730;456;18;8.78018E-05
PV441;Leontodon sp;Oak;Q2P;PV441_31206_TCATCG;23394764;14973284;5424;242;0.001616212
PV454;Klasea pinnatifida;Oak;Q3P;PV454_31191_GCTTAG;37572813;22079564;1289;NA;NA
PV457;Medicago sp;Oak;Q3P;PV457_31198_AGCTCC;23657650;15059063;2070;22;0.000146091
PV464;Rubia peregrina;Oak;Q3P;PV464_31209_GACCGT;26497345;15887024;25581;10;6.29445E-05
PV473;Eryngium campestre;Oak;Q4P;PV473_31182_CGTCGC;33306526;20424806;2602;8;3.91681E-05
PV489;Hordeum vulgare;Crop;H2P;PV489_03987AAC_CAGATC;11576099;11552102;388831;92650;0.802018542
PV491;Hordeum vulgare;Crop;H2P;PV491_03988AAC_GATCAG;16525895;16485656;6534;2756;0.016717563
PV495;Anacyclus clavatus;Crop;H2P;PV495_31202_AGAGGT;24763479;14441158;11516;4;2.76986E-05
PV496;Convolvulus arvensis;Crop;H2P;PV496_03986AAC_TGACCA;15652770;15549963;5190;48;0.000308682
PV498;Rubia peregrina;Crop;H3P;PV498_31207_ATTCTC;25690098;15214485;242891;46994;0.308876705
PV500;Desconocida 5;Crop;H3P;PV500_31178_TGCCTA;29171304;17585785;104267;24;0.000136474
PV501;Bromus sp;Crop;H3P;PV501_31208_GTCAAC;25673414;16869901;25;8;4.74217E-05
PV503;Hordeum vulgare;Crop;H3P;PV503_03989AAC_ATCACG;15014799;14920572;20312;2200;0.014744743
PV505;Hordeum vulgare;Crop;H3P;PV505_03990AAC_TTAGGC;15080125;15035465;645744;146550;0.974695495
PV514;Diplotaxis erucoides;Crop;M3V;PV514_31172_CGTTGG;27010160;15813138;515940;220780;1.396180821
PV516;Picris echioides;Crop;M3V;PV516_31203_ATGAGA;21810695;13326073;20;NA;NA
PV519;Desconocida 4;Crop;M4V;PV519_31204_CTTCCA;26881763;16243449;642;18;0.000110814
PV525;Diplotaxis erucoides;Crop;Z1V;PV525_03981AAC_ACTTGA;15437623;15421666;37005;10496;0.068060092
PV526;Phalaris minor;Crop;Z1V;PV526_03983AAC_CGATGT;14443700;14384514;8858;2860;0.019882493
PV527;Convolvulus arvensis;Crop;Z2V;PV527_03984AAC_GTGAAA;14243105;14172651;36569;10744;0.075807977
PV529;Picris echioides;Crop;Z2V;PV529_03985AAC_ACAGTG;14801902;14771314;79290;738;0.00499617
PV534;Diplotaxis erucoides;Crop;C1F;PV534_03993AAC_ACTGAT;13574500;13529814;10749;52;0.000384336
PV535;Brassica oleracea;Crop;C1F;PV535_03991AAC_CTTGTA;12922574;12860155;35843;76;0.000590973
