TaxId	Biosample	Representative species	PAB-phyto	PAB-symb
1736464	SAMN04155733	Pelomonas sp. Root1444		
1736580	SAMN04155849	Pelomonas sp. Root662		
1736445	SAMN04155714	Phenylobacterium sp. Root1290		
1736591	SAMN04155860	Phenylobacterium sp. Root700		
265726	SAMN03263086	Photobacterium halotolerans		
1632865	SAMN03417851	Pirellula sp. SH-Sr6A		
1632864	AMN0341 854	Planctomyces sp. SH-PL14		
1636152	SAMN03417853	Planctomyces sp. SH-PL62		
150123	AMN0622 853	Plantibacter flavus		
1736333	AMN0415 723	Plantibacter sp. Leaf314		
1122963	SAMN02440654	Pleomorphomonas oryzae DSM 16300		
61647	SAMN03031196	Pluralibacter gergoviae		
433924	SAMN03401387	Pseudacidovorax intermedius		
1736466	SAMN04155735	Pseudolabrys sp. Root1462		
289370	SAMN05216602	Pseudomonas argentinensis		
1190415	SAMN05216593	Pseudomonas asturiensis		
1292027	SAMN02441543	Pseudomonas azotifigens DSM 17556		
1123016	SAMN02673660	Pseudomonas balearica DSM 6083		
226910	SAMN03273282	Pseudomonas batumici		
930166	SAMN02666520	Pseudomonas brassicacearum		
1495066	SAMN02739926	Pseudomonas capeferrum		
587753	SAMN02780900	Pseudomonas chlororaphis		
587753	SAMN03097209	Pseudomonas chlororaphis		
587753	SAMN03395035	Pseudomonas chlororaphis		
587753	SAMN06132109	Pseudomonas chlororaphis		
1441629	SAMN02641561	Pseudomonas cichorii JBC1	P	
53408	SAMN05178539	Pseudomonas citronellolis		
83964	SAMN03165364	Pseudomonas coronafaciens pv. porri	P	
47879	SAMN04453325	Pseudomonas corrugata	P	
1563157	SAMN04193521	Pseudomonas endophytica		
29435	SAMN05216588	Pseudomonas flavescens		
1940241	SAMN06275483	Pseudomonas floridensis		
294	SAMEA3112443	Pseudomonas fluorescens		
294	SAMN02900729	Pseudomonas fluorescens		
294	SAMN03092895	Pseudomonas fluorescens		
294	SAMN03398829	Pseudomonas fluorescens		
294	SAMN03981702	Pseudomonas fluorescens		
294	SAMN03983770	Pseudomonas fluorescens		
294	SAMN04094105	Pseudomonas fluorescens		
294	SAMN04094107	Pseudomonas fluorescens		
294	SAMN04444410	Pseudomonas fluorescens		
294	SAMN04558174	Pseudomonas fluorescens		
294	SAMN04992557	Pseudomonas fluorescens		
294	SAMN05589716	Pseudomonas fluorescens		
294	SAMN05860393	Pseudomonas fluorescens		
1221522	SAMN01112396	Pseudomonas fluorescens NCIMB 11764		
205922	SAMN02598267	Pseudomonas fluorescens Pf0-1		
104087	SAMN06102480	Pseudomonas frederiksbergensis		
47880	SAMN03267958	Pseudomonas fulva		
743720	SAMN00713619	Pseudomonas fulva 12-X		
50340	SAMN03100370	Pseudomonas fuscovaginae		
50340	SAMN05216581	Pseudomonas fuscovaginae		
158627	SAMN05366371	Pseudomonas graminis		
158627	SAMN06242168	Pseudomonas graminis		
1429083	SAMN06011245	Pseudomonas hussainii		
137658	SAMN05216186	Pseudomonas indica		
198620	SAMN05017671	Pseudomonas koreensis		
243924	SAMN03077637	Pseudomonas lutea		
243924	SAMN05216409	Pseudomonas lutea		
1198317	SAMN04102814	Pseudomonas marginalis ICMP 9505	P	
1001585	SAMN02603190	Pseudomonas mendocina NK-01		
1388763	SAMN02470220	Pseudomonas mosselii SJ10		
47885	SAMN03365871	Pseudomonas oryzihabitans		
47885	SAMN04158501	Pseudomonas oryzihabitans		
157782	SAMN03107785	Pseudomonas parafulva		
157782	SAMN06447730	Pseudomonas parafulva		
1215114	SAMN02441530	Pseudomonas parafulva NBRC 16636 = DSM 17004		
1282356	SAMN02603296	Pseudomonas poae RE*1-1-14		
1124983	SAMN02603271	Pseudomonas protegens CHA0		
237610	SAMN05860868	Pseudomonas psychrotolerans		
1220495	SAMN05216288	Pseudomonas punonensis		
303	SAMN02730082	Pseudomonas putida		
303	SAMN03198226	Pseudomonas putida		
303	SAMN03765648	Pseudomonas putida		
303	SAMN04108877	Pseudomonas putida		
303	SAMN04380944	Pseudomonas putida		
303	SAMN04500978	Pseudomonas putida		
303	SAMN04545448	Pseudomonas putida		
303	SAMN05928284	Pseudomonas putida		
303	SAMN06130965	Pseudomonas putida		
303	SAMN06675396	Pseudomonas putida		
1331671	SAMN02604103	Pseudomonas putida H8234		
390235	SAMN02598376	Pseudomonas putida W619		
216142	SAMN03077633	Pseudomonas rhizosphaerae		
29438	SAMN03837775	Pseudomonas savastanoi	P	
693985	SAMN02471367	Pseudomonas savastanoi pv. savastanoi NCPPB 3335	P	
1981712	SAMN06771362	Pseudomonas sp. B7(2017)		
1796033	SAMN04487208	Pseudomonas sp. BMS12		
658630	SAMN03891662	Pseudomonas sp. CMR5c		
1749078	SAMN04216969	Pseudomonas sp. EpS/L25		
1659194	SAMN03701341	Pseudomonas sp. GR 06-02		
1736267	SAMN04151647	Pseudomonas sp. Leaf127		
1736221	SAMN04151601	Pseudomonas sp. Leaf48		
1736226	SAMN04151606	Pseudomonas sp. Leaf58		
1566248	SAMN03159495	Pseudomonas sp. NFR16		
1761898	SAMN04487858	Pseudomonas sp. ok602		
1699309	SAMN03891678	Pseudomonas sp. Pf153		
1397282	SAMN02729860	Pseudomonas sp. PH1b		
1981685	SAMN06771389	Pseudomonas sp. R37(2017)		
1981676	SAMN06771398	Pseudomonas sp. R4(2017)		
1470593	SAMN02676632	Pseudomonas sp. RIT357		
686578	SAMN02470122	Pseudomonas sp. S9		
1028989	SAMD00019511	Pseudomonas sp. StFLB209		
